"","Year.Collected","Corynosoma_sp_CP","Cope_a_CP","Cope_h_CP","Metacercaria_sp2_CP","Metacercaria_sp1_CP","Contracaecum_sp_all","Nem_Unkn_all","Lecithaster_sp_all","Trem_Unkn_all","Hemiurid_sp_all","Pronoprymna_sp1_all","Pronoprymna_petrowi_all","Cest_sp1_CP","Cest_sp3_CP","Mono_pistho_CP","long","lat","longjitt","latjitt","site","Fish.ID","Standard.Length..mm.","Total.Length..mm.","fish_density","X","temp_na_rm","sTemp","Pb","As","Zn","Ni","V","Cr","Cu","Ba","Be","Sig8_lignin","Lamb8","Bd.V_soil_biomarker"
"1",1900,0,0,0,3,0,1,0,4,0,0,0,0,0,0,0,-122.961944,48.600556,-122.963071073033,48.6005557301415,"48.600556 -122.961944","FMNH 52280_06",64,75,NA,NA,NA,NA,24.35,12.395,90.05,41.45,115,73.9,42.05,414,1.21,0.405,2.35,0.045
"2",1900,0,0,0,5,1,11,0,5,0,1,0,0,0,2,0,-122.961944,48.600556,-122.960670720548,48.6005588421704,"48.600556 -122.961944","FMNH 52280_04",65,73,NA,NA,NA,NA,24.35,12.395,90.05,41.45,115,73.9,42.05,414,1.21,0.405,2.35,0.045
"3",1900,0,0,1,11,1,7,1,1,0,1,0,0,0,1,8,-122.961944,48.600556,-122.962652839258,48.6005466118722,"48.600556 -122.961944","FMNH 52280_05",75,81,NA,NA,NA,NA,24.35,12.395,90.05,41.45,115,73.9,42.05,414,1.21,0.405,2.35,0.045
"4",1900,0,0,0,1,8,0,0,2,0,14,1,0,0,0,0,-122.961944,48.600556,-122.960776200313,48.6005690522183,"48.600556 -122.961944","FMNH 52280_01",69,80,NA,NA,NA,NA,24.35,12.395,90.05,41.45,115,73.9,42.05,414,1.21,0.405,2.35,0.045
"5",1900,0,0,0,11,3,2,0,3,3,6,0,0,0,0,0,-122.961944,48.600556,-122.961379671689,48.600558592417,"48.600556 -122.961944","FMNH 52280_02",58,65,NA,NA,NA,NA,24.35,12.395,90.05,41.45,115,73.9,42.05,414,1.21,0.405,2.35,0.045
"6",1900,0,0,0,0,0,1,3,0,0,0,0,3,0,0,0,-122.961944,48.600556,-122.962010575511,48.6005362959153,"48.600556 -122.961944","FMNH 52280_03",75,84,NA,NA,NA,NA,24.35,12.395,90.05,41.45,115,73.9,42.05,414,1.21,0.405,2.35,0.045
"7",1900,0,0,0,14,2,18,0,0,0,0,0,6,5,2,0,-122.961944,48.600556,-122.963014822251,48.6005462119021,"48.600556 -122.961944","FMNH 52280_08",60,71,NA,NA,NA,NA,24.35,12.395,90.05,41.45,115,73.9,42.05,414,1.21,0.405,2.35,0.045
"8",1900,0,0,0,21,0,5,1,1,0,0,0,16,0,0,0,-122.961944,48.600556,-122.96123290085,48.6005556327198,"48.600556 -122.961944","FMNH 52280_09",44,51,NA,NA,NA,NA,24.35,12.395,90.05,41.45,115,73.9,42.05,414,1.21,0.405,2.35,0.045
"9",1900,0,0,0,11,0,9,1,0,0,0,0,0,0,0,0,-122.961944,48.600556,-122.962347613803,48.6005747517794,"48.600556 -122.961944","FMNH 52280_10",48,55,NA,NA,NA,NA,24.35,12.395,90.05,41.45,115,73.9,42.05,414,1.21,0.405,2.35,0.045
"10",1900,0,0,0,27,1,1,0,0,2,0,0,0,0,0,1,-122.961944,48.600556,-122.961486757075,48.6005712149921,"48.600556 -122.961944","FMNH 52280_07",69,80,NA,NA,NA,NA,24.35,12.395,90.05,41.45,115,73.9,42.05,414,1.21,0.405,2.35,0.045
"11",1929,0,0,0,1,0,0,1,43,0,2,1,0,0,0,0,-122.7601,48.09012,-122.75975267484,48.0901136321804,"48.09012 -122.7601","UW 000742_02",56,71,NA,9,8.874166667,0.249703205263675,49.9,19.9,85.7,41.4,113,71.1,35.3,401,1.2,0.603333333333333,2.81,0.03
